SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on \Device\NPF_{D8D267BF-D178-4544-B628-9DE58ABAE75A} succeeded.
1 slaves found and configured.
Slaves mapped, state to SAFE_OP.
segments : 1 : 4 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.
Processdata cycle    1, WKC 3 , O: 00 00 I: 00 00 T:698416068292457960
Processdata cycle    2, WKC 3 , O: 00 00 I: 00 00 T:698416068298559880
Processdata cycle    3, WKC 3 , O: 00 00 I: 00 00 T:698416068304558360
Processdata cycle    4, WKC 3 , O: 00 00 I: 00 00 T:698416068310558920
Processdata cycle    5, WKC 3 , O: 00 00 I: 00 00 T:698416068316612800
Processdata cycle    6, WKC 3 , O: 00 00 I: 00 00 T:698416068322530400
Processdata cycle    7, WKC 3 , O: 00 00 I: 00 00 T:698416068328509440
Processdata cycle    8, WKC 3 , O: 00 00 I: 00 00 T:698416068334501840
Processdata cycle    9, WKC 3 , O: 00 00 I: 00 00 T:698416068340501360
Processdata cycle   10, WKC 3 , O: 00 00 I: 00 00 T:698416068346466080
Processdata cycle   11, WKC 3 , O: 00 00 I: 00 00 T:698416068352487120
Processdata cycle  185, WKC 3 , O: 00 00 I: 00 00 T:698416069397278760
Processdata cycle  186, WKC 3 , O: 00 00 I: 00 00 T:698416069403273160
Processdata cycle  187, WKC 3 , O: 00 00 I: 00 00 T:698416069409322840
Processdata cycle  188, WKC 3 , O: 00 00 I: 00 00 T:698416069415345960
Processdata cycle  189, WKC 3 , O: 00 00 I: 00 00 T:698416069421295320
Processdata cycle  190, WKC 3 , O: 00 00 I: 00 00 T:698416069427422840
Processdata cycle  191, WKC 3 , O: 00 00 I: 00 00 T:698416069433393760
Processdata cycle  192, WKC 3 , O: 00 00 I: 00 00 T:698416069439354400
Processdata cycle  193, WKC 3 , O: 00 00 I: 00 00 T:698416069445269920
Processdata cycle  194, WKC 3 , O: 00 00 I: 00 00 T:698416069451252080
Processdata cycle  195, WKC 3 , O: 00 00 I: 00 00 T:698416069457122560
Processdata cycle  196, WKC 3 , O: 00 00 I: 00 00 T:698416069463299280
Processdata cycle  197, WKC 3 , O: 00 00 I: 00 00 T:698416069469309040
Processdata cycle  198, WKC 3 , O: 00 00 I: 00 00 T:698416069475343440
Processdata cycle  199, WKC 3 , O: 00 00 I: 00 00 T:698416069481344040
Processdata cycle  200, WKC 3 , O: 00 00 I: 00 00 T:698416069487286200
Processdata cycle  201, WKC 3 , O: 00 00 I: 00 00 T:698416069493279560
Processdata cycle  202, WKC 3 , O: 00 00 I: 00 00 T:698416069499217720
Processdata cycle  203, WKC 3 , O: 00 00 I: 00 00 T:698416069505249000
Processdata cycle  204, WKC 3 , O: 00 00 I: 00 00 T:698416069511230040
Processdata cycle  205, WKC 3 , O: 00 00 I: 00 00 T:698416069517205000
Processdata cycle  206, WKC 3 , O: 00 00 I: 00 00 T:698416069523185120
Processdata cycle  207, WKC 3 , O: 00 00 I: 00 00 T:698416069529170320
Processdata cycle  208, WKC 3 , O: 00 00 I: 00 00 T:698416069535195520
Processdata cycle  209, WKC 3 , O: 00 00 I: 00 00 T:698416069541133600
Processdata cycle  210, WKC 3 , O: 00 00 I: 00 00 T:698416069547117760
Processdata cycle  211, WKC 3 , O: 00 00 I: 00 00 T:698416069553027200
Processdata cycle  212, WKC 3 , O: 00 00 I: 00 00 T:698416069558974480
Processdata cycle  213, WKC 3 , O: 00 00 I: 00 00 T:698416069564985320
Processdata cycle  214, WKC 3 , O: 00 00 I: 00 00 T:698416069570944920
Processdata cycle  215, WKC 3 , O: 00 00 I: 00 00 T:698416069576957800
Processdata cycle  216, WKC 3 , O: 00 00 I: 00 00 T:698416069582914280
Processdata cycle  217, WKC 3 , O: 00 00 I: 00 00 T:698416069588896440
Processdata cycle  218, WKC 3 , O: 00 00 I: 00 00 T:698416069594877560
Processdata cycle  219, WKC 3 , O: 00 00 I: 00 00 T:698416069600897560
Processdata cycle  220, WKC 3 , O: 00 00 I: 00 00 T:698416069606849000
Processdata cycle  221, WKC 3 , O: 00 00 I: 00 00 T:698416069613020560
Processdata cycle  222, WKC 3 , O: 00 00 I: 00 00 T:698416069618912560
Processdata cycle  223, WKC 3 , O: 00 00 I: 00 00 T:698416069624859920
Processdata cycle  224, WKC 3 , O: 00 00 I: 00 00 T:698416069630970000
Processdata cycle  225, WKC 3 , O: 00 00 I: 00 00 T:698416069636946000
Processdata cycle  226, WKC 3 , O: 00 00 I: 00 00 T:698416069642942480
Processdata cycle  227, WKC 3 , O: 00 00 I: 00 00 T:698416069648918480
Processdata cycle  228, WKC 3 , O: 00 00 I: 00 00 T:698416069654899600
Processdata cycle  229, WKC 3 , O: 00 00 I: 00 00 T:698416069660883800
Processdata cycle  230, WKC 3 , O: 00 00 I: 00 00 T:698416069666867960
Processdata cycle  231, WKC 3 , O: 00 00 I: 00 00 T:698416069672858280
Processdata cycle  232, WKC 3 , O: 00 00 I: 00 00 T:698416069678849640
Processdata cycle  233, WKC 3 , O: 00 00 I: 00 00 T:698416069684822520
Processdata cycle  234, WKC 3 , O: 00 00 I: 00 00 T:698416069690817960
Processdata cycle  235, WKC 3 , O: 00 00 I: 00 00 T:698416069696787800
Processdata cycle  236, WKC 3 , O: 00 00 I: 00 00 T:698416069702779200
Processdata cycle  237, WKC 3 , O: 00 00 I: 00 00 T:698416069708771600
Processdata cycle  238, WKC 3 , O: 00 00 I: 00 00 T:698416069714750640
Processdata cycle  239, WKC 3 , O: 00 00 I: 00 00 T:698416069720721520
Processdata cycle  240, WKC 3 , O: 00 00 I: 00 00 T:698416069726721040
Processdata cycle  241, WKC 3 , O: 00 00 I: 00 00 T:698416069732697040
Processdata cycle  242, WKC 3 , O: 00 00 I: 00 00 T:698416069738691440
Processdata cycle  243, WKC 3 , O: 00 00 I: 00 00 T:698416069744633640
Processdata cycle  244, WKC 3 , O: 00 00 I: 00 00 T:698416069750693640
Processdata cycle  245, WKC 3 , O: 00 00 I: 00 00 T:698416069756581560
Processdata cycle  246, WKC 3 , O: 00 00 I: 00 00 T:698416069762563640
Processdata cycle  247, WKC 3 , O: 00 00 I: 00 00 T:698416069768555000
Processdata cycle  248, WKC 3 , O: 00 00 I: 00 00 T:698416069774536360
Processdata cycle  249, WKC 3 , O: 00 00 I: 00 00 T:698416069780521320
Processdata cycle  250, WKC 3 , O: 00 00 I: 00 00 T:698416069786499320
Processdata cycle  251, WKC 3 , O: 00 00 I: 00 00 T:698416069792500960
Processdata cycle  252, WKC 3 , O: 00 00 I: 00 00 T:698416069798474880
Processdata cycle  253, WKC 3 , O: 00 00 I: 00 00 T:698416069804452960
Processdata cycle  254, WKC 3 , O: 00 00 I: 00 00 T:698416069810439120
Processdata cycle  255, WKC 3 , O: 00 00 I: 00 00 T:698416069816420240
Processdata cycle  256, WKC 3 , O: 00 00 I: 00 00 T:698416069822409520
Processdata cycle  257, WKC 3 , O: 00 00 I: 00 00 T:698416069828390640
Processdata cycle  258, WKC 3 , O: 00 00 I: 00 00 T:698416069834375880
Processdata cycle  259, WKC 3 , O: 00 00 I: 00 00 T:698416069840358040
Processdata cycle  260, WKC 3 , O: 00 00 I: 00 00 T:698416069846375960
Processdata cycle  261, WKC 3 , O: 00 00 I: 00 00 T:698416069852374520
Processdata cycle  262, WKC 3 , O: 00 00 I: 00 00 T:698416069858363800
Processdata cycle  263, WKC 3 , O: 00 00 I: 00 00 T:698416069864312120
Processdata cycle  264, WKC 3 , O: 00 00 I: 00 00 T:698416069870292200
Processdata cycle  265, WKC 3 , O: 00 00 I: 00 00 T:698416069876285680
Processdata cycle  266, WKC 3 , O: 00 00 I: 00 00 T:698416069882280080
Processdata cycle  267, WKC 3 , O: 00 00 I: 00 00 T:698416069888290880
Processdata cycle  268, WKC 3 , O: 00 00 I: 00 00 T:698416069894281200
Processdata cycle  269, WKC 3 , O: 00 00 I: 00 00 T:698416069900302240
Processdata cycle  270, WKC 3 , O: 00 00 I: 00 00 T:698416069906285360
Processdata cycle  271, WKC 3 , O: 00 00 I: 00 00 T:698416069912274640
Processdata cycle  272, WKC 3 , O: 00 00 I: 00 00 T:698416069918316160
Processdata cycle  273, WKC 3 , O: 00 00 I: 00 00 T:698416069924286040
Processdata cycle  274, WKC 3 , O: 00 00 I: 00 00 T:698416069930322440
Processdata cycle  275, WKC 3 , O: 00 00 I: 00 00 T:698416069936294360
Processdata cycle  276, WKC 3 , O: 00 00 I: 00 00 T:698416069942283640
Processdata cycle  277, WKC 3 , O: 00 00 I: 00 00 T:698416069948323160
Processdata cycle  278, WKC 3 , O: 00 00 I: 00 00 T:698416069954392280
Processdata cycle  279, WKC 3 , O: 00 00 I: 00 00 T:698416069960376440
Processdata cycle  280, WKC 3 , O: 00 00 I: 00 00 T:698416069966307400
Processdata cycle  281, WKC 3 , O: 00 00 I: 00 00 T:698416069972268080
Processdata cycle  282, WKC 3 , O: 00 00 I: 00 00 T:698416069978278880
Processdata cycle  283, WKC 3 , O: 00 00 I: 00 00 T:698416069984278400
Processdata cycle  284, WKC 3 , O: 00 00 I: 00 00 T:698416069990325040
Processdata cycle  285, WKC 3 , O: 00 00 I: 00 00 T:698416069996330720
Processdata cycle  286, WKC 3 , O: 00 00 I: 00 00 T:698416070002351760
Processdata cycle  287, WKC 3 , O: 00 00 I: 00 00 T:698416070008404560
Processdata cycle  288, WKC 3 , O: 00 00 I: 00 00 T:698416070014337520
Processdata cycle  289, WKC 3 , O: 00 00 I: 00 00 T:698416070020361640
Processdata cycle  290, WKC 3 , O: 00 00 I: 00 00 T:698416070026337640
Processdata cycle  291, WKC 3 , O: 00 00 I: 00 00 T:698416070032312600
Processdata cycle  292, WKC 3 , O: 00 00 I: 00 00 T:698416070038321400
Processdata cycle  293, WKC 3 , O: 00 00 I: 00 00 T:698416070044311720
Processdata cycle  294, WKC 3 , O: 00 00 I: 00 00 T:698416070050334760
Processdata cycle  295, WKC 3 , O: 00 00 I: 00 00 T:698416070056322040
Processdata cycle  296, WKC 3 , O: 00 00 I: 00 00 T:698416070062329760
Processdata cycle  297, WKC 3 , O: 00 00 I: 00 00 T:698416070068368240
Processdata cycle  298, WKC 3 , O: 00 00 I: 00 00 T:698416070074364720
Processdata cycle  299, WKC 3 , O: 00 00 I: 00 00 T:698416070080374480
Processdata cycle  300, WKC 3 , O: 00 00 I: 00 00 T:698416070086346400
Processdata cycle  301, WKC 3 , O: 00 00 I: 00 00 T:698416070092348960
Processdata cycle  302, WKC 3 , O: 00 00 I: 00 00 T:698416070098327040
Processdata cycle  303, WKC 3 , O: 00 00 I: 00 00 T:698416070104328560
Processdata cycle  304, WKC 3 , O: 00 00 I: 00 00 T:698416070110307720
Processdata cycle  305, WKC 3 , O: 00 00 I: 00 00 T:698416070116273400
Processdata cycle  306, WKC 3 , O: 00 00 I: 00 00 T:698416070122296520
Processdata cycle  307, WKC 3 , O: 00 00 I: 00 00 T:698416070128323720
Processdata cycle  308, WKC 3 , O: 00 00 I: 00 00 T:698416070134320200
Processdata cycle  309, WKC 3 , O: 00 00 I: 00 00 T:698416070140203960
Processdata cycle  310, WKC 3 , O: 00 00 I: 00 00 T:698416070146337640
Processdata cycle  311, WKC 3 , O: 00 00 I: 00 00 T:698416070152316760
Processdata cycle  312, WKC 3 , O: 00 00 I: 00 00 T:698416070158308080
Processdata cycle  313, WKC 3 , O: 00 00 I: 00 00 T:698416070164353760
Processdata cycle  314, WKC 3 , O: 00 00 I: 00 00 T:698416070170304080
Processdata cycle  315, WKC 3 , O: 00 00 I: 00 00 T:698416070176324160
Processdata cycle  316, WKC 3 , O: 00 00 I: 00 00 T:698416070182311360
Processdata cycle  317, WKC 3 , O: 00 00 I: 00 00 T:698416070188306800
Processdata cycle  318, WKC 3 , O: 00 00 I: 00 00 T:698416070194282800
Processdata cycle  319, WKC 3 , O: 00 00 I: 00 00 T:698416070200271080
Processdata cycle  320, WKC 3 , O: 00 00 I: 00 00 T:698416070206256280
Processdata cycle  321, WKC 3 , O: 00 00 I: 00 00 T:698416070212319320
Processdata cycle  322, WKC 3 , O: 00 00 I: 00 00 T:698416070218250280
Processdata cycle  323, WKC 3 , O: 00 00 I: 00 00 T:698416070224303080
Processdata cycle  324, WKC 3 , O: 00 00 I: 00 00 T:698416070230288280
Processdata cycle  325, WKC 3 , O: 00 00 I: 00 00 T:698416070236260120
Processdata cycle  326, WKC 3 , O: 00 00 I: 00 00 T:698416070242237160
Processdata cycle  327, WKC 3 , O: 00 00 I: 00 00 T:698416070248237760
Processdata cycle  328, WKC 3 , O: 00 00 I: 00 00 T:698416070254190160
Processdata cycle  329, WKC 3 , O: 00 00 I: 00 00 T:698416070260192800
Processdata cycle  330, WKC 3 , O: 00 00 I: 00 00 T:698416070266115520
Processdata cycle  331, WKC 3 , O: 00 00 I: 00 00 T:698416070272160080
Processdata cycle  332, WKC 3 , O: 00 00 I: 00 00 T:698416070278141200
Processdata cycle  333, WKC 3 , O: 00 00 I: 00 00 T:698416070284041440
Processdata cycle  334, WKC 3 , O: 00 00 I: 00 00 T:698416070290010280
Processdata cycle  335, WKC 3 , O: 00 00 I: 00 00 T:698416070296002680
