SOEM (Simple Open EtherCAT Master)
Simple test
Starting simple test
ec_init on \Device\NPF_{D8D267BF-D178-4544-B628-9DE58ABAE75A} succeeded.
1 slaves found and configured.
Slaves mapped, state to SAFE_OP.
segments : 1 : 8 0 0 0
Request operational state for all slaves
Calculated workcounter 3
Operational state reached for all slaves.
Processdata cycle    1, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444300316880
Processdata cycle    2, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444305665000
Processdata cycle    3, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444311631720
Processdata cycle    4, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444317631240
Processdata cycle    5, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444323615520
Processdata cycle    6, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444329607840
Processdata cycle    7, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444335587920
Processdata cycle    8, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444341569040
Processdata cycle    9, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444347574760
Processdata cycle   10, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444353502600
Processdata cycle   11, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444359528760
Processdata cycle   44, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444557117520
Processdata cycle   45, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444563224560
Processdata cycle   46, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444569307040
Processdata cycle   47, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444576255840
Processdata cycle   48, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444582500160
Processdata cycle   49, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444588341000
Processdata cycle   50, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444594328200
Processdata cycle   51, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444600165960
Processdata cycle   52, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444606332440
Processdata cycle   53, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444612355520
Processdata cycle   54, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444618264960
Processdata cycle   55, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444624274720
Processdata cycle   56, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444630114560
Processdata cycle   57, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444636218600
Processdata cycle   58, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444642070680
Processdata cycle   59, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444648180760
Processdata cycle   60, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444654054360
Processdata cycle   61, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444660016080
Processdata cycle   62, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444665995120
Processdata cycle   63, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444671977200
Processdata cycle   64, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444677916360
Processdata cycle   65, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444683893400
Processdata cycle   66, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444689916520
Processdata cycle   67, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444695861720
Processdata cycle   68, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444701841840
Processdata cycle   69, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444707828080
Processdata cycle   70, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444713811280
Processdata cycle   71, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444719845600
Processdata cycle   72, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444725823640
Processdata cycle   73, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444731762760
Processdata cycle   74, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444737745960
Processdata cycle   75, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444743744440
Processdata cycle   76, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444749714320
Processdata cycle   77, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444755718000
Processdata cycle   78, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444761799440
Processdata cycle   79, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444767844000
Processdata cycle   80, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444773796520
Processdata cycle   81, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444779777560
Processdata cycle   82, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444785763800
Processdata cycle   83, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444791745960
Processdata cycle   84, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444797871440
Processdata cycle   85, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444803784000
Processdata cycle   86, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444809773280
Processdata cycle   87, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444815805600
Processdata cycle   88, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444821803080
Processdata cycle   89, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444827870200
Processdata cycle   90, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444833769400
Processdata cycle   91, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444839792560
Processdata cycle   92, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444845751120
Processdata cycle   93, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444851770080
Processdata cycle   94, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444857753280
Processdata cycle   95, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444863686280
Processdata cycle   96, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444869629480
Processdata cycle   97, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444875549160
Processdata cycle   98, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444881507720
Processdata cycle   99, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444887494000
Processdata cycle  100, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444896633080
Processdata cycle  101, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444903208120
Processdata cycle  102, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444909216840
Processdata cycle  103, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444915201040
Processdata cycle  104, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444921180080
Processdata cycle  105, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444927165280
Processdata cycle  106, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444933149520
Processdata cycle  107, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444939141880
Processdata cycle  108, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444945116840
Processdata cycle  109, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444951174760
Processdata cycle  110, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444957135400
Processdata cycle  111, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444963153360
Processdata cycle  112, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444969094560
Processdata cycle  113, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444975152480
Processdata cycle  114, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444981146880
Processdata cycle  115, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444987137240
Processdata cycle  116, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444993157240
Processdata cycle  117, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417444999172120
Processdata cycle  118, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445005074480
Processdata cycle  119, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445011116000
Processdata cycle  120, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445017109360
Processdata cycle  121, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445023075120
Processdata cycle  122, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445029016280
Processdata cycle  123, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445035092680
Processdata cycle  124, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445041090120
Processdata cycle  125, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445047104040
Processdata cycle  126, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445053085120
Processdata cycle  127, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445059074480
Processdata cycle  128, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445065088320
Processdata cycle  129, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445071030480
Processdata cycle  130, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445077053640
Processdata cycle  131, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445083027080
Processdata cycle  132, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445089017880
Processdata cycle  133, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445095072040
Processdata cycle  134, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445101014960
Processdata cycle  135, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445107012480
Processdata cycle  136, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445112989440
Processdata cycle  137, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445119002320
Processdata cycle  138, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445124973240
Processdata cycle  139, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445130958440
Processdata cycle  140, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445137024520
Processdata cycle  141, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445143008680
Processdata cycle  142, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445148983680
Processdata cycle  143, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445154937120
Processdata cycle  144, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445160919280
Processdata cycle  145, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445166933120
Processdata cycle  146, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445172931720
Processdata cycle  147, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445178843160
Processdata cycle  148, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445184862120
Processdata cycle  149, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445190837120
Processdata cycle  150, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445196854080
Processdata cycle  151, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445202832160
Processdata cycle  152, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445208790720
Processdata cycle  153, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445214865000
Processdata cycle  154, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445220810280
Processdata cycle  155, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445226791400
Processdata cycle  156, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445232865720
Processdata cycle  157, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445238872400
Processdata cycle  158, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445244807440
Processdata cycle  159, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445250802880
Processdata cycle  160, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445256834160
Processdata cycle  161, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445262809160
Processdata cycle  162, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445268841480
Processdata cycle  163, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445274789800
Processdata cycle  164, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445280765800
Processdata cycle  165, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445286703920
Processdata cycle  166, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445292730080
Processdata cycle  167, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445298677440
Processdata cycle  168, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445304680000
Processdata cycle  169, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445310642760
Processdata cycle  170, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445316624840
Processdata cycle  171, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445322610040
Processdata cycle  172, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445328628080
Processdata cycle  173, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445334774000
Processdata cycle  174, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445340620000
Processdata cycle  175, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445346738320
Processdata cycle  176, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445352717400
Processdata cycle  177, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445358715880
Processdata cycle  178, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445364713400
Processdata cycle  179, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445370775400
Processdata cycle  180, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445376713520
Processdata cycle  181, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445382765280
Processdata cycle  182, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445388616320
Processdata cycle  183, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445394731600
Processdata cycle  184, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445400632840
Processdata cycle  185, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445406683560
Processdata cycle  186, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445412581720
Processdata cycle  187, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445418659080
Processdata cycle  188, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445424569600
Processdata cycle  189, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445430661280
Processdata cycle  190, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445436655680
Processdata cycle  191, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445443595280
Processdata cycle  192, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445449566160
Processdata cycle  193, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445455552440
Processdata cycle  194, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445461573480
Processdata cycle  195, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445468392200
Processdata cycle  196, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445474533000
Processdata cycle  197, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445480488520
Processdata cycle  198, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445486389840
Processdata cycle  199, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445492451840
Processdata cycle  200, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445498444160
Processdata cycle  201, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445504417120
Processdata cycle  202, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445510345000
Processdata cycle  203, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445516277960
Processdata cycle  204, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445522285720
Processdata cycle  205, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445529218120
Processdata cycle  206, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445535134680
Processdata cycle  207, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445541255120
Processdata cycle  208, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445547197280
Processdata cycle  209, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445553107760
Processdata cycle  210, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445559121640
Processdata cycle  211, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445565105800
Processdata cycle  212, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445571055160
Processdata cycle  213, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445577073160
Processdata cycle  214, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445583061440
Processdata cycle  215, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445589011840
Processdata cycle  216, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445595013760
Processdata cycle  217, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445601036480
Processdata cycle  218, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445607001240
Processdata cycle  219, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445613021320
Processdata cycle  220, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445619001400
Processdata cycle  221, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445624985560
Processdata cycle  222, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445630975920
Processdata cycle  223, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445636951920
Processdata cycle  224, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445642939120
Processdata cycle  225, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445648965280
Processdata cycle  226, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445654949480
Processdata cycle  227, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445660929560
Processdata cycle  228, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445666881000
Processdata cycle  229, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445672871320
Processdata cycle  230, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445678851440
Processdata cycle  231, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445684828480
Processdata cycle  232, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445690823920
Processdata cycle  233, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445696875680
Processdata cycle  234, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445702868040
Processdata cycle  235, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445708815400
Processdata cycle  236, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445714825160
Processdata cycle  237, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445720801200
Processdata cycle  238, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445726802720
Processdata cycle  239, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445732798160
Processdata cycle  240, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445738689200
Processdata cycle  241, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445744647800
Processdata cycle  242, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445750723080
Processdata cycle  243, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445757711800
Processdata cycle  244, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445763653000
Processdata cycle  245, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445769651480
Processdata cycle  246, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445775632640
Processdata cycle  247, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445781644480
Processdata cycle  248, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445787611280
Processdata cycle  249, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445793641520
Processdata cycle  250, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445799633880
Processdata cycle  251, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445805627320
Processdata cycle  252, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445811618680
Processdata cycle  253, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445817679640
Processdata cycle  254, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445823702720
Processdata cycle  255, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445829725840
Processdata cycle  256, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445835697760
Processdata cycle  257, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445841788400
Processdata cycle  258, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445847658920
Processdata cycle  259, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445853637000
Processdata cycle  260, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445859620120
Processdata cycle  261, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445865615560
Processdata cycle  262, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445871592640
Processdata cycle  263, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445877609600
Processdata cycle  264, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445883597840
Processdata cycle  265, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445889599440
Processdata cycle  266, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445895593880
Processdata cycle  267, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445901495080
Processdata cycle  268, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445907491560
Processdata cycle  269, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445913454320
Processdata cycle  270, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445919480480
Processdata cycle  271, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445925415440
Processdata cycle  272, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445931400640
Processdata cycle  273, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445937426840
Processdata cycle  274, WKC 3 , O: 00 00 00 00 I: 00 00 00 00 T:698417445943422280
